Id,Category
479,Audio-Play
480,Other
481,Travel-Query
482,TVProgram-Play
483,FilmTele-Play
484,HomeAppliance-Control
485,HomeAppliance-Control
486,Video-Play
487,FilmTele-Play
488,FilmTele-Play
489,Other
490,Travel-Query
491,Alarm-Update
492,Other
493,Other
494,Calendar-Query
495,Video-Play
496,Audio-Play
497,Alarm-Update
498,Audio-Play
499,TVProgram-Play
500,Video-Play
501,FilmTele-Play
502,Weather-Query
503,FilmTele-Play
504,FilmTele-Play
505,Alarm-Update
506,Travel-Query
507,FilmTele-Play
508,TVProgram-Play
509,Other
510,FilmTele-Play
511,Travel-Query
512,Music-Play
513,Radio-Listen
514,Video-Play
515,HomeAppliance-Control
516,Audio-Play
517,Weather-Query
518,Other
519,Video-Play
520,TVProgram-Play
521,Audio-Play
522,FilmTele-Play
523,Radio-Listen
524,FilmTele-Play
525,Weather-Query
526,Alarm-Update
527,Video-Play
528,HomeAppliance-Control
529,Travel-Query
530,Travel-Query
531,Audio-Play
532,Calendar-Query
533,Audio-Play
534,Travel-Query
535,Video-Play
536,Video-Play
537,HomeAppliance-Control
538,Video-Play
539,Other
540,Weather-Query
541,Radio-Listen
542,Other
543,Other
544,Weather-Query
545,Audio-Play
546,Other
547,Alarm-Update
548,Radio-Listen
549,Calendar-Query
550,Calendar-Query
551,Other
552,Travel-Query
553,Music-Play
554,Music-Play
555,Radio-Listen
556,Video-Play
557,Other
558,FilmTele-Play
559,HomeAppliance-Control
560,Travel-Query
561,Calendar-Query
562,HomeAppliance-Control
563,Alarm-Update
564,Other
565,Music-Play
566,HomeAppliance-Control
567,Video-Play
568,Video-Play
569,FilmTele-Play
570,Alarm-Update
571,Music-Play
572,HomeAppliance-Control
573,Music-Play
574,Video-Play
575,Alarm-Update
576,Audio-Play
577,Alarm-Update
578,Travel-Query
579,Calendar-Query
580,TVProgram-Play
581,Calendar-Query
582,Video-Play
583,FilmTele-Play
584,Radio-Listen
585,TVProgram-Play
586,TVProgram-Play
587,Weather-Query
588,Other
589,TVProgram-Play
590,Other
591,Other
592,FilmTele-Play
593,Calendar-Query
594,Other
595,Video-Play
596,Alarm-Update
597,FilmTele-Play
598,TVProgram-Play
599,FilmTele-Play
600,Music-Play
601,Other
602,FilmTele-Play
603,Alarm-Update
604,Travel-Query
605,Travel-Query
606,Travel-Query
607,Music-Play
608,FilmTele-Play
609,HomeAppliance-Control
610,FilmTele-Play
611,HomeAppliance-Control
612,Music-Play
613,TVProgram-Play
614,HomeAppliance-Control
615,Calendar-Query
616,Calendar-Query
617,Video-Play
618,Other
619,Radio-Listen
620,Weather-Query
621,Travel-Query
622,Audio-Play
623,Music-Play
624,Weather-Query
625,Radio-Listen
626,Travel-Query
627,Video-Play
628,TVProgram-Play
629,Calendar-Query
630,Other
631,Alarm-Update
632,Radio-Listen
633,FilmTele-Play
634,Weather-Query
635,Radio-Listen
636,Audio-Play
637,Weather-Query
638,FilmTele-Play
639,Audio-Play
640,Video-Play
641,Weather-Query
642,Audio-Play
643,Radio-Listen
644,Travel-Query
645,Music-Play
646,HomeAppliance-Control
647,Alarm-Update
648,TVProgram-Play
649,Music-Play
650,Calendar-Query
651,Weather-Query
652,Video-Play
653,Audio-Play
654,Audio-Play
655,Other
656,HomeAppliance-Control
657,Music-Play
658,Calendar-Query
659,Travel-Query
660,HomeAppliance-Control
661,TVProgram-Play
662,Radio-Listen
663,Other
664,FilmTele-Play
665,HomeAppliance-Control
666,Other
667,FilmTele-Play
668,Radio-Listen
669,Music-Play
670,HomeAppliance-Control
671,Weather-Query
672,TVProgram-Play
673,FilmTele-Play
674,TVProgram-Play
675,Video-Play
676,Alarm-Update
677,FilmTele-Play
678,FilmTele-Play
679,Other
680,Alarm-Update
681,Other
682,Music-Play
683,Weather-Query
684,Weather-Query
685,FilmTele-Play
686,Video-Play
687,Other
688,HomeAppliance-Control
689,Music-Play
690,Video-Play
691,Calendar-Query
692,Other
693,Other
694,Calendar-Query
695,TVProgram-Play
696,Video-Play
697,Video-Play
698,FilmTele-Play
699,Travel-Query
700,FilmTele-Play
701,HomeAppliance-Control
702,Radio-Listen
703,Audio-Play
704,Radio-Listen
705,Other
706,Travel-Query
707,Radio-Listen
708,Radio-Listen
709,HomeAppliance-Control
710,Weather-Query
711,Audio-Play
712,FilmTele-Play
713,FilmTele-Play
714,Calendar-Query
715,Weather-Query
716,TVProgram-Play
717,Alarm-Update
718,Other
719,Travel-Query
720,Video-Play
721,TVProgram-Play
722,HomeAppliance-Control
723,TVProgram-Play
724,Other
725,Alarm-Update
726,HomeAppliance-Control
727,Radio-Listen
728,Weather-Query
729,Travel-Query
730,Radio-Listen
731,Radio-Listen
732,Alarm-Update
733,HomeAppliance-Control
734,Other
735,Audio-Play
736,TVProgram-Play
737,TVProgram-Play
738,TVProgram-Play
739,Other
740,Calendar-Query
741,HomeAppliance-Control
742,Video-Play
743,Radio-Listen
744,Alarm-Update
745,Music-Play
746,FilmTele-Play
747,Weather-Query
748,Radio-Listen
749,Travel-Query
750,Calendar-Query
751,Other
752,Calendar-Query
753,TVProgram-Play
754,Calendar-Query
755,Alarm-Update
756,Audio-Play
757,Weather-Query
758,FilmTele-Play
759,Alarm-Update
760,FilmTele-Play
761,Weather-Query
762,Travel-Query
763,Audio-Play
764,FilmTele-Play
765,Travel-Query
766,Video-Play
767,Music-Play
768,TVProgram-Play
769,Audio-Play
770,Radio-Listen
771,Music-Play
772,Alarm-Update
773,TVProgram-Play
774,TVProgram-Play
775,Calendar-Query
776,Weather-Query
777,Video-Play
778,Music-Play
779,Weather-Query
780,Travel-Query
781,Weather-Query
782,TVProgram-Play
783,Audio-Play
784,Travel-Query
785,Video-Play
786,Video-Play
787,Radio-Listen
788,Music-Play
789,Audio-Play
790,Other
791,Other
792,Radio-Listen
793,FilmTele-Play
794,Calendar-Query
795,Calendar-Query
796,Travel-Query
797,Calendar-Query
798,Calendar-Query
799,HomeAppliance-Control
800,TVProgram-Play
801,Music-Play
802,Other
803,FilmTele-Play
804,Audio-Play
805,Radio-Listen
806,Other
807,TVProgram-Play
808,Music-Play
809,Alarm-Update
810,HomeAppliance-Control
811,TVProgram-Play
812,Music-Play
813,Radio-Listen
814,FilmTele-Play
815,Music-Play
816,Video-Play
817,Calendar-Query
818,Other
819,Video-Play
820,FilmTele-Play
821,FilmTele-Play
822,Weather-Query
823,Radio-Listen
824,Weather-Query
825,Alarm-Update
826,Calendar-Query
827,Weather-Query
828,Weather-Query
829,Alarm-Update
830,Music-Play
831,Video-Play
832,Other
833,Weather-Query
834,Weather-Query
835,Weather-Query
836,Music-Play
837,Radio-Listen
838,Travel-Query
839,Other
840,Other
841,Alarm-Update
842,Other
843,HomeAppliance-Control
844,Music-Play
845,Calendar-Query
846,Travel-Query
847,HomeAppliance-Control
848,FilmTele-Play
849,Travel-Query
850,Other
851,TVProgram-Play
852,Other
853,Other
854,Travel-Query
855,Travel-Query
856,FilmTele-Play
857,TVProgram-Play
858,Music-Play
859,Music-Play
860,Radio-Listen
861,Travel-Query
862,Video-Play
863,Alarm-Update
864,TVProgram-Play
865,Alarm-Update
866,Video-Play
867,Music-Play
868,Travel-Query
869,Radio-Listen
870,TVProgram-Play
871,TVProgram-Play
872,Other
873,Travel-Query
874,Travel-Query
875,Calendar-Query
876,Alarm-Update
877,Radio-Listen
878,FilmTele-Play
879,Music-Play
880,Audio-Play
881,Other
882,Video-Play
883,Weather-Query
884,FilmTele-Play
885,TVProgram-Play
886,TVProgram-Play
887,Weather-Query
888,HomeAppliance-Control
889,FilmTele-Play
890,Travel-Query
891,Audio-Play
892,Music-Play
893,Other
894,TVProgram-Play
895,HomeAppliance-Control
896,Radio-Listen
897,Music-Play
898,Weather-Query
899,Alarm-Update
900,Other
901,Music-Play
902,Alarm-Update
903,HomeAppliance-Control
904,Music-Play
905,TVProgram-Play
906,Video-Play
907,Music-Play
908,Radio-Listen
909,Other
910,Other
911,Other
912,Weather-Query
913,Other
914,Calendar-Query
915,Calendar-Query
916,Other
917,Other
918,Other
919,Audio-Play
920,Travel-Query
921,Calendar-Query
922,Calendar-Query
923,Weather-Query
924,Calendar-Query
925,Travel-Query
926,Calendar-Query
927,Music-Play
928,Travel-Query
929,Travel-Query
930,Calendar-Query
931,Weather-Query
932,Travel-Query
933,Other
934,Travel-Query
935,Calendar-Query
936,Audio-Play
937,Alarm-Update
938,FilmTele-Play
939,FilmTele-Play
940,Travel-Query
941,Calendar-Query
942,Travel-Query
943,Calendar-Query
944,Video-Play
945,Other
946,HomeAppliance-Control
947,HomeAppliance-Control
948,Alarm-Update
949,Audio-Play
950,Other
951,Audio-Play
952,Audio-Play
953,Radio-Listen
954,Music-Play
955,HomeAppliance-Control
956,Weather-Query
957,Other
958,Audio-Play
959,Travel-Query
960,FilmTele-Play
961,Radio-Listen
962,Alarm-Update
963,Other
964,Other
965,Audio-Play
966,Music-Play
967,FilmTele-Play
968,Travel-Query
969,Travel-Query
970,Calendar-Query
971,Video-Play
972,Radio-Listen
973,Audio-Play
974,Weather-Query
975,Other
976,Radio-Listen
977,Audio-Play
978,Other
979,Other
980,FilmTele-Play
981,FilmTele-Play
982,Audio-Play
983,Other
984,Audio-Play
985,Calendar-Query
986,Weather-Query
987,Alarm-Update
988,Travel-Query
989,Weather-Query
990,Weather-Query
991,Calendar-Query
992,Other
993,Calendar-Query
994,HomeAppliance-Control
995,Music-Play
996,Other
997,FilmTele-Play
998,Travel-Query
999,Video-Play
1000,Weather-Query
1001,Calendar-Query
1002,TVProgram-Play
1003,Travel-Query
1004,Alarm-Update
1005,Travel-Query
1006,Radio-Listen
1007,TVProgram-Play
1008,Alarm-Update
1009,Alarm-Update
1010,Music-Play
1011,Calendar-Query
1012,Radio-Listen
1013,Music-Play
1014,Weather-Query
1015,TVProgram-Play
1016,Alarm-Update
1017,Music-Play
1018,Radio-Listen
1019,Video-Play
1020,Audio-Play
1021,FilmTele-Play
1022,Other
1023,Radio-Listen
1024,Other
1025,FilmTele-Play
1026,TVProgram-Play
1027,FilmTele-Play
1028,Alarm-Update
1029,Radio-Listen
1030,Music-Play
1031,Alarm-Update
1032,Audio-Play
1033,Alarm-Update
1034,Weather-Query
1035,Radio-Listen
1036,Travel-Query
1037,Audio-Play
1038,Music-Play
1039,Calendar-Query
1040,Music-Play
1041,Travel-Query
1042,Audio-Play
1043,FilmTele-Play
1044,Audio-Play
1045,Video-Play
1046,Radio-Listen
1047,Radio-Listen
1048,Weather-Query
1049,Music-Play
1050,Music-Play
1051,Audio-Play
1052,TVProgram-Play
1053,Calendar-Query
1054,FilmTele-Play
1055,Other
1056,FilmTele-Play
1057,Alarm-Update
1058,Radio-Listen
1059,FilmTele-Play
1060,HomeAppliance-Control
1061,Calendar-Query
1062,Radio-Listen
1063,Alarm-Update
1064,Alarm-Update
1065,FilmTele-Play
1066,TVProgram-Play
1067,Weather-Query
1068,Video-Play
1069,Video-Play
1070,Radio-Listen
1071,Travel-Query
1072,Radio-Listen
1073,Travel-Query
1074,Music-Play
1075,FilmTele-Play
1076,FilmTele-Play
1077,Calendar-Query
1078,Alarm-Update
1079,Other
1080,FilmTele-Play
1081,Travel-Query
1082,Alarm-Update
1083,Weather-Query
1084,Alarm-Update
1085,Weather-Query
1086,Audio-Play
1087,Weather-Query
1088,Travel-Query
1089,HomeAppliance-Control
1090,Video-Play
1091,Calendar-Query
1092,Alarm-Update
1093,Calendar-Query
1094,Music-Play
1095,Alarm-Update
1096,HomeAppliance-Control
1097,FilmTele-Play
1098,Travel-Query
1099,Calendar-Query
1100,HomeAppliance-Control
1101,Other
1102,HomeAppliance-Control
1103,Other
1104,Calendar-Query
1105,HomeAppliance-Control
1106,Travel-Query
1107,Alarm-Update
1108,HomeAppliance-Control
1109,Video-Play
1110,FilmTele-Play
1111,Video-Play
1112,Other
1113,Alarm-Update
1114,Alarm-Update
1115,Calendar-Query
1116,Calendar-Query
1117,Alarm-Update
1118,FilmTele-Play
1119,Radio-Listen
1120,HomeAppliance-Control
1121,Calendar-Query
1122,HomeAppliance-Control
1123,TVProgram-Play
1124,Alarm-Update
1125,FilmTele-Play
1126,Other
1127,HomeAppliance-Control
1128,Travel-Query
1129,Alarm-Update
1130,Travel-Query
1131,Video-Play
1132,Weather-Query
1133,Radio-Listen
1134,Radio-Listen
1135,Weather-Query
1136,Alarm-Update
1137,Music-Play
1138,Other
1139,Calendar-Query
1140,Travel-Query
1141,Audio-Play
1142,Alarm-Update
1143,Calendar-Query
1144,HomeAppliance-Control
1145,Video-Play
1146,Weather-Query
1147,FilmTele-Play
1148,FilmTele-Play
1149,FilmTele-Play
1150,Music-Play
1151,Video-Play
1152,Music-Play
1153,HomeAppliance-Control
1154,Audio-Play
1155,Audio-Play
1156,Other
1157,Weather-Query
1158,Radio-Listen
1159,Video-Play
1160,FilmTele-Play
1161,Calendar-Query
1162,Radio-Listen
1163,Radio-Listen
1164,Weather-Query
1165,HomeAppliance-Control
1166,Audio-Play
1167,FilmTele-Play
1168,Travel-Query
1169,Music-Play
1170,Audio-Play
1171,Alarm-Update
1172,FilmTele-Play
1173,Radio-Listen
1174,Radio-Listen
1175,Calendar-Query
1176,Music-Play
1177,Music-Play
1178,Travel-Query
1179,Music-Play
1180,Music-Play
1181,Other
1182,Video-Play
1183,Audio-Play
1184,Radio-Listen
1185,Music-Play
1186,HomeAppliance-Control
1187,HomeAppliance-Control
1188,Travel-Query
1189,FilmTele-Play
1190,Travel-Query
1191,Video-Play
1192,Music-Play
1193,Radio-Listen
1194,Travel-Query
1195,HomeAppliance-Control
1196,Weather-Query
1197,Radio-Listen
1198,Video-Play
1199,Alarm-Update
1200,Travel-Query
1201,Calendar-Query
1202,Radio-Listen
1203,Travel-Query
1204,FilmTele-Play
1205,Travel-Query
1206,Alarm-Update
1207,Other
1208,Music-Play
1209,Audio-Play
1210,HomeAppliance-Control
1211,Travel-Query
1212,TVProgram-Play
1213,Travel-Query
1214,HomeAppliance-Control
1215,Video-Play
1216,Radio-Listen
1217,Calendar-Query
1218,Music-Play
1219,Other
1220,Other
1221,Calendar-Query
1222,Music-Play
1223,TVProgram-Play
1224,TVProgram-Play
1225,Audio-Play
1226,Other
1227,Radio-Listen
1228,Travel-Query
1229,Other
1230,Travel-Query
1231,Travel-Query
1232,HomeAppliance-Control
1233,Music-Play
1234,Travel-Query
1235,Other
1236,FilmTele-Play
1237,FilmTele-Play
1238,HomeAppliance-Control
1239,Alarm-Update
1240,Other
1241,Other
1242,Weather-Query
1243,Weather-Query
1244,Calendar-Query
1245,Weather-Query
1246,Weather-Query
1247,Music-Play
1248,Music-Play
1249,Weather-Query
1250,Radio-Listen
1251,Calendar-Query
1252,Video-Play
1253,Travel-Query
1254,Radio-Listen
1255,Radio-Listen
1256,Weather-Query
1257,Weather-Query
1258,Weather-Query
1259,HomeAppliance-Control
1260,Video-Play
1261,Video-Play
1262,Weather-Query
1263,Other
1264,Other
1265,Other
1266,FilmTele-Play
1267,FilmTele-Play
1268,Calendar-Query
1269,Audio-Play
1270,Calendar-Query
1271,Video-Play
1272,Audio-Play
1273,Calendar-Query
1274,Travel-Query
1275,Calendar-Query
1276,Music-Play
1277,Other
1278,Music-Play
1279,HomeAppliance-Control
1280,Radio-Listen
1281,Calendar-Query
1282,Audio-Play
1283,Weather-Query
1284,Other
1285,Other
1286,Other
1287,Other
1288,Video-Play
1289,Calendar-Query
1290,Calendar-Query
1291,HomeAppliance-Control
1292,Travel-Query
1293,Other
1294,Alarm-Update
1295,Other
1296,Video-Play
1297,Music-Play
1298,Travel-Query
1299,Other
1300,Other
1301,TVProgram-Play
1302,Weather-Query
1303,Video-Play
1304,Weather-Query
1305,Video-Play
1306,TVProgram-Play
1307,Weather-Query
1308,Other
1309,Video-Play
1310,Other
1311,Calendar-Query
1312,TVProgram-Play
1313,HomeAppliance-Control
1314,TVProgram-Play
1315,Music-Play
1316,FilmTele-Play
1317,Alarm-Update
1318,Alarm-Update
1319,Alarm-Update
1320,Travel-Query
1321,Alarm-Update
1322,Travel-Query
1323,HomeAppliance-Control
1324,Travel-Query
1325,TVProgram-Play
1326,Audio-Play
1327,Radio-Listen
1328,FilmTele-Play
1329,HomeAppliance-Control
1330,Other
1331,Alarm-Update
1332,Travel-Query
1333,Weather-Query
1334,Calendar-Query
1335,Other
1336,Music-Play
1337,Alarm-Update
1338,Travel-Query
1339,FilmTele-Play
1340,Calendar-Query
1341,Calendar-Query
1342,Travel-Query
1343,FilmTele-Play
1344,Other
1345,TVProgram-Play
1346,Other
1347,Other
1348,Video-Play
1349,Other
1350,Other
1351,TVProgram-Play
1352,FilmTele-Play
1353,Video-Play
1354,Other
1355,Calendar-Query
1356,TVProgram-Play
1357,Other
1358,Calendar-Query
1359,Other
1360,Radio-Listen
1361,Other
1362,Alarm-Update
1363,Music-Play
1364,Weather-Query
1365,HomeAppliance-Control
1366,TVProgram-Play
1367,FilmTele-Play
1368,Alarm-Update
1369,Video-Play
1370,Other
1371,Other
1372,Travel-Query
1373,Weather-Query
1374,Radio-Listen
1375,Calendar-Query
1376,Other
1377,Video-Play
1378,Travel-Query
1379,FilmTele-Play
1380,Music-Play
1381,Calendar-Query
1382,TVProgram-Play
1383,TVProgram-Play
1384,Calendar-Query
1385,Radio-Listen
1386,Music-Play
1387,Calendar-Query
1388,Music-Play
1389,HomeAppliance-Control
1390,Radio-Listen
1391,Other
1392,TVProgram-Play
1393,Alarm-Update
1394,Music-Play
1395,Travel-Query
1396,Weather-Query
1397,Video-Play
1398,FilmTele-Play
1399,Music-Play
1400,Calendar-Query
1401,TVProgram-Play
1402,TVProgram-Play
1403,TVProgram-Play
1404,TVProgram-Play
1405,Video-Play
1406,FilmTele-Play
1407,FilmTele-Play
1408,Travel-Query
1409,HomeAppliance-Control
1410,Other
1411,Weather-Query
1412,Alarm-Update
1413,Calendar-Query
1414,FilmTele-Play
1415,Calendar-Query
1416,HomeAppliance-Control
1417,Alarm-Update
1418,Audio-Play
1419,Other
1420,Alarm-Update
1421,Other
1422,Radio-Listen
1423,Radio-Listen
1424,Music-Play
1425,Music-Play
1426,Audio-Play
1427,Calendar-Query
1428,Alarm-Update
1429,Weather-Query
1430,Alarm-Update
1431,Travel-Query
1432,HomeAppliance-Control
1433,FilmTele-Play
1434,Calendar-Query
1435,TVProgram-Play
1436,Audio-Play
1437,Calendar-Query
1438,Video-Play
1439,FilmTele-Play
1440,Other
1441,Weather-Query
1442,Other
1443,Radio-Listen
1444,Radio-Listen
1445,Calendar-Query
1446,FilmTele-Play
1447,Other
1448,Travel-Query
1449,Alarm-Update
1450,FilmTele-Play
1451,FilmTele-Play
1452,Other
1453,Radio-Listen
1454,Calendar-Query
1455,Calendar-Query
1456,Weather-Query
1457,Other
1458,TVProgram-Play
1459,Other
1460,Radio-Listen
1461,Video-Play
1462,HomeAppliance-Control
1463,TVProgram-Play
1464,HomeAppliance-Control
1465,Music-Play
1466,FilmTele-Play
1467,Alarm-Update
1468,Audio-Play
1469,Calendar-Query
1470,Weather-Query
1471,Music-Play
1472,Radio-Listen
1473,Calendar-Query
1474,Music-Play
1475,HomeAppliance-Control
